sample_id,image_path,Sampling_Date,State,Species,Pre_GSHH_NDVI,Height_Ave_cm,Dry_Clover_g,Dry_Dead_g,Dry_Green_g,Dry_Total_g,GDM_g
ID2010625680,train/ID2010625680.jpg,2015/7/8,WA,Clover,0.75,3.0,37.5911,0.0,5.0589,42.65,42.65
ID2014192906,train/ID2014192906.jpg,2015/6/26,Vic,Ryegrass,0.63,3.0,0.5,7.0,3.0,10.1912,3.5
ID2030696575,train/ID2030696575.jpg,2015/11/9,Tas,Clover,0.31,1.1667,2.1,2.6,1.6,6.3,3.7
ID2037861084,train/ID2037861084.jpg,2015/6/30,Vic,Phalaris_Clover,0.77,3.8,0.0,12.2169,28.6831,40.9,28.6831
ID2048645043,train/ID2048645043.jpg,2015/6/26,Vic,Ryegrass,0.76,4.0,4.186,11.5116,10.4651,26.1628,14.6512
ID2052442675,train/ID2052442675.jpg,2015/5/19,Tas,Ryegrass_Clover,0.43,2.0,0.0,2.7,14.5,17.2,14.5
ID2052993274,train/ID2052993274.jpg,2015/2/24,NSW,Phalaris,0.66,32.0,0.0,1.7764,103.6236,105.4,103.6236
ID2053315094,train/ID2053315094.jpg,2015/2/25,NSW,Fescue,0.57,12.0,0.0,17.8111,50.8889,68.7,50.8889
ID2056023629,train/ID2056023629.jpg,2015/2/25,NSW,Fescue,0.68,12.0,0.0,25.1357,57.6643,82.8,57.6643
ID2056982009,train/ID2056982009.jpg,2015/9/29,Vic,Ryegrass_Clover,0.72,3.0,4.0868,1.5598,30.8534,36.5,34.9402
ID2069766023,train/ID2069766023.jpg,2015/6/26,Tas,Ryegrass_Clover,0.44,5.0,1.8208,32.7742,6.1907,40.7857,8.0115
ID2086966681,train/ID2086966681.jpg,2015/6/29,Tas,WhiteClover,0.57,3.0,3.804,30.7245,1.7557,36.2842,5.5597
ID2089023774,train/ID2089023774.jpg,2015/9/29,Vic,Ryegrass_Clover,0.81,5.0,17.5189,1.3042,33.4869,52.31,51.0058
ID2091439402,train/ID2091439402.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.82,3.5,1.0962,4.9327,22.4712,28.5,23.5673
ID2096636211,train/ID2096636211.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.38,2.8,2.6,32.2,11.4,46.2,14.0
ID2099464826,train/ID2099464826.jpg,2015/10/6,NSW,Fescue,0.65,10.6667,0.0,25.28,69.52,94.8,69.52
ID2099742797,train/ID2099742797.jpg,2015/7/2,Vic,Ryegrass_Clover,0.75,2.0,4.14,1.38,15.18,20.7,19.32
ID210865340,train/ID210865340.jpg,2015/7/1,Tas,Ryegrass,0.67,4.0,0.0,9.0731,12.9966,22.0697,12.9966
ID212206250,train/ID212206250.jpg,2015/7/8,WA,Clover,0.3,1.0,7.32,0.0,2.4,9.72,9.72
ID212206832,train/ID212206832.jpg,2015/6/26,Vic,Ryegrass,0.75,3.0,0.7014,13.3262,5.6924,19.72,6.3938
ID2125100696,train/ID2125100696.jpg,2015/8/14,Vic,Phalaris_Clover,0.8,5.0,14.8364,4.9455,34.6182,54.4,49.4545
ID2131261930,train/ID2131261930.jpg,2015/11/9,Tas,Ryegrass_Clover,0.73,4.5,6.744,42.7122,31.4721,80.9283,38.2161
ID21377800,train/ID21377800.jpg,2015/6/26,Tas,Ryegrass_Clover,0.59,4.0,0.48,28.3224,9.1208,37.9232,9.6008
ID2145635095,train/ID2145635095.jpg,2015/7/1,Tas,Ryegrass,0.73,6.0,0.0,17.5621,22.7022,40.2643,22.7022
ID227847873,train/ID227847873.jpg,2015/9/29,Vic,Ryegrass_Clover,0.71,3.0,8.6387,7.5836,23.9377,40.16,32.5764
ID230058600,train/ID230058600.jpg,2015/8/21,WA,Clover,0.67,3.0,46.83,0.0,0.0,46.83,46.83
ID249042826,train/ID249042826.jpg,2015/9/4,Tas,Clover,0.53,2.8333,10.6616,3.8769,1.8,16.3385,12.4615
ID257822026,train/ID257822026.jpg,2015/11/10,Tas,Ryegrass_Clover,0.59,7.1667,0.0,58.125,24.0,82.125,24.0
ID290369222,train/ID290369222.jpg,2015/5/18,Tas,Ryegrass,0.85,8.0,0.0,11.4741,40.8478,52.3219,40.8478
ID294150104,train/ID294150104.jpg,2015/9/29,Vic,Ryegrass_Clover,0.78,3.0,13.9876,3.167,20.5855,37.74,34.573
ID307060225,train/ID307060225.jpg,2015/6/26,Tas,Ryegrass_Clover,0.53,2.0,0.3031,15.6092,14.2453,30.1575,14.5484
ID315357834,train/ID315357834.jpg,2015/7/1,Tas,Ryegrass,0.83,6.0,0.0,5.7792,27.2448,33.024,27.2448
ID317990700,train/ID317990700.jpg,2015/9/4,Tas,Ryegrass_Clover,0.75,5.5,0.0,38.1288,27.5062,65.635,27.5062
ID325799913,train/ID325799913.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.37,3.2,2.797,19.2502,11.3527,33.4,14.1498
ID332742639,train/ID332742639.jpg,2015/8/18,Vic,Phalaris_Clover,0.77,2.5,6.4127,3.3949,19.9924,29.8,26.4051
ID342818398,train/ID342818398.jpg,2015/9/29,Vic,Ryegrass_Clover,0.72,3.0,24.0237,3.1815,13.8948,41.1,37.9185
ID344618040,train/ID344618040.jpg,2015/5/18,Tas,Ryegrass,0.6,4.0,0.0,6.7327,14.9081,21.6408,14.9081
ID353424190,train/ID353424190.jpg,2015/2/25,NSW,Fescue,0.41,6.0,0.0,6.2143,22.7857,29.0,22.7857
ID353997899,train/ID353997899.jpg,2015/6/30,Vic,Phalaris_Clover,0.68,3.0,9.5934,35.7574,7.8492,53.2,17.4426
ID354528442,train/ID354528442.jpg,2015/2/24,NSW,Ryegrass,0.68,10.0,0.0,8.3077,56.4923,64.8,56.4923
ID363069566,train/ID363069566.jpg,2015/5/19,Tas,Ryegrass_Clover,0.68,3.0,0.2,5.5,12.5,18.2,12.7
ID364856705,train/ID364856705.jpg,2015/9/3,Tas,Ryegrass_Clover,0.85,3.3333,2.7638,4.6064,34.0871,41.4573,36.8509
ID380752847,train/ID380752847.jpg,2015/9/1,WA,Ryegrass,0.81,14.0,0.0,0.0,58.98,58.98,58.98
ID383231615,train/ID383231615.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.86,4.0,3.1698,5.7057,24.7245,33.6,27.8943
ID384648061,train/ID384648061.jpg,2015/10/6,NSW,Fescue,0.85,14.6667,0.0,27.7164,157.9836,185.7,157.9836
ID386216505,train/ID386216505.jpg,2015/8/14,Vic,Phalaris_Clover,0.63,4.0,3.0667,7.6667,21.4667,32.2,24.5333
ID397994621,train/ID397994621.jpg,2015/5/7,NSW,Fescue,0.86,9.0,0.0,0.0,81.0,81.0,81.0
ID407646960,train/ID407646960.jpg,2015/2/25,NSW,Fescue,0.59,11.0,0.0,35.5862,71.9138,107.5,71.9138
ID40849327,train/ID40849327.jpg,2015/8/21,WA,Clover,0.81,4.0,51.97,0.0,0.0,51.97,51.97
ID415656958,train/ID415656958.jpg,2015/6/26,Vic,Ryegrass,0.71,4.0,1.0707,11.2424,4.8182,17.1313,5.8889
ID423506847,train/ID423506847.jpg,2015/8/18,Vic,Phalaris_Clover,0.84,5.0,0.9821,10.8036,43.2143,55.0,44.1964
ID429799190,train/ID429799190.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.44,4.5,5.9241,21.8114,16.9645,44.7,22.8886
ID431471530,train/ID431471530.jpg,2015/4/1,NSW,Lucerne,0.78,32.0,0.0,1.2764,45.5236,46.8,45.5236
ID443091455,train/ID443091455.jpg,2015/10/14,Vic,Phalaris_Clover_Ryegrass_Barleygrass_Bromegrass,0.66,4.6667,22.2594,11.9858,26.2547,60.5,48.5142
ID4464212,train/ID4464212.jpg,2015/5/18,Tas,Ryegrass,0.87,6.0,2.3192,8.1172,28.4103,38.8467,30.7295
ID471758347,train/ID471758347.jpg,2015/8/14,Vic,Phalaris_Clover,0.74,6.0,0.0,3.3222,26.5778,29.9,26.5778
ID473494649,train/ID473494649.jpg,2015/9/1,WA,SubcloverDalkeith,0.54,1.0,10.88,0.0,0.0,10.88,10.88
ID475010202,train/ID475010202.jpg,2015/9/1,WA,SubcloverLosa,0.71,1.0,36.76,0.0,0.0,36.76,36.76
ID482555369,train/ID482555369.jpg,2015/7/1,Tas,Ryegrass,0.34,3.0,0.0,15.9,2.5,18.4,2.5
ID48303557,train/ID48303557.jpg,2015/6/26,Tas,Ryegrass_Clover,0.8,4.0,0.0,13.2399,60.0887,73.3286,60.0887
ID488873801,train/ID488873801.jpg,2015/6/26,Tas,Ryegrass_Clover,0.62,2.0,0.7552,8.3076,22.9088,31.9716,23.664
ID490139972,train/ID490139972.jpg,2015/5/18,Tas,Ryegrass,0.79,9.0,0.0,9.9537,35.9864,45.9401,35.9864
ID498304885,train/ID498304885.jpg,2015/5/7,NSW,Lucerne,0.67,24.0,0.0,7.4132,22.4868,29.9,22.4868
ID50027657,train/ID50027657.jpg,2015/8/14,Vic,Phalaris_Clover,0.76,4.0,7.2429,3.6214,39.8357,50.7,47.0786
ID520514019,train/ID520514019.jpg,2015/7/2,Vic,Ryegrass_Clover,0.73,3.0,1.687,3.3739,14.3391,19.4,16.0261
ID528010569,train/ID528010569.jpg,2015/8/18,Vic,Phalaris_Clover,0.85,3.8,7.1746,7.1746,30.8508,45.2,38.0254
ID529933668,train/ID529933668.jpg,2015/8/18,Vic,Phalaris_Clover,0.82,6.3,4.0159,7.2286,39.3556,50.6,43.3714
ID534966093,train/ID534966093.jpg,2015/8/14,Vic,Ryegrass_Clover,0.75,4.0,7.6364,7.6364,26.7273,42.0,34.3636
ID54128926,train/ID54128926.jpg,2015/11/10,Tas,Ryegrass_Clover,0.77,6.8333,0.0,24.4653,39.1446,63.6099,39.1446
ID544444725,train/ID544444725.jpg,2015/10/6,NSW,Fescue,0.59,13.0,0.0,44.5775,60.9225,105.5,60.9225
ID545360459,train/ID545360459.jpg,2015/9/1,WA,Ryegrass,0.71,10.0,0.0,0.0,47.73,47.73,47.73
ID550623196,train/ID550623196.jpg,2015/9/3,Tas,Ryegrass_Clover,0.67,1.5,1.581,4.1107,15.9684,21.6601,17.5494
ID552040066,train/ID552040066.jpg,2015/2/24,NSW,Phalaris,0.37,7.0,0.0,6.592,24.108,30.7,24.108
ID554314721,train/ID554314721.jpg,2015/1/15,NSW,Lucerne,0.69,49.0,0.0,2.7,50.9,53.6,50.9
ID560946727,train/ID560946727.jpg,2015/9/11,Tas,Ryegrass,0.74,3.6667,0.0,13.0842,21.0896,34.1738,21.0896
ID566966892,train/ID566966892.jpg,2015/7/1,Vic,Phalaris_Clover,0.66,3.0,0.9714,3.8857,15.5429,20.4,16.5143
ID567744300,train/ID567744300.jpg,2015/9/3,Tas,Ryegrass_Clover,0.57,2.3333,0.0,2.1953,20.6355,22.8308,20.6355
ID572336285,train/ID572336285.jpg,2015/11/9,Tas,Ryegrass_Clover,0.68,3.0,22.5242,26.1571,18.8913,67.5726,41.4155
ID574213894,train/ID574213894.jpg,2015/11/10,Tas,Ryegrass_Clover,0.88,8.0,31.2684,28.8632,25.6561,85.7877,56.9246
ID576137678,train/ID576137678.jpg,2015/7/1,Tas,Ryegrass,0.59,4.0,0.0,33.0159,12.6389,45.6548,12.6389
ID576621307,train/ID576621307.jpg,2015/1/15,NSW,Lucerne,0.73,63.0,0.0,2.4,60.2,62.6,60.2
ID577112774,train/ID577112774.jpg,2015/9/1,WA,SubcloverDalkeith,0.49,1.0,10.23,0.0,0.0,10.23,10.23
ID587125778,train/ID587125778.jpg,2015/6/29,Tas,WhiteClover,0.54,2.0,4.0911,25.3648,1.6364,31.0923,5.7275
ID588120964,train/ID588120964.jpg,2015/10/6,NSW,Fescue,0.68,17.6667,0.0,35.1746,83.9254,119.1,83.9254
ID600602588,train/ID600602588.jpg,2015/8/14,Vic,Phalaris_Clover,0.73,4.0,2.1111,2.1111,33.7778,38.0,35.8889
ID605134229,train/ID605134229.jpg,2015/6/26,Tas,Ryegrass_Clover,0.63,2.0,3.6166,3.6166,3.3755,10.6087,6.9921
ID610397481,train/ID610397481.jpg,2015/7/8,WA,Clover,0.62,1.0,20.6513,0.0,3.0787,23.73,23.73
ID617132135,train/ID617132135.jpg,2015/5/19,Tas,Ryegrass_Clover,0.47,3.0,0.8,4.7,11.1,16.6,11.9
ID61833032,train/ID61833032.jpg,2015/6/30,Vic,Phalaris_Clover,0.8,4.8,0.0,19.6123,41.4877,61.1,41.4877
ID6269659,train/ID6269659.jpg,2015/11/9,Tas,Clover,0.75,4.8333,35.9533,16.3424,2.3346,54.6304,38.2879
ID629980789,train/ID629980789.jpg,2015/7/1,Vic,Phalaris_Clover,0.77,6.0,1.6069,8.0345,36.9586,46.6,38.5655
ID633775166,train/ID633775166.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.36,4.3,2.812,23.277,7.8111,33.9,10.623
ID638711343,train/ID638711343.jpg,2015/5/18,Tas,Ryegrass,0.76,7.0,0.0,4.3212,31.3284,35.6496,31.3285
ID656251220,train/ID656251220.jpg,2015/9/11,Tas,Ryegrass,0.58,2.8333,3.7538,5.3961,6.3606,15.5104,10.1143
ID657448172,train/ID657448172.jpg,2015/6/29,Tas,WhiteClover,0.39,1.0,1.6,2.9,0.2,4.7,1.8
ID661372352,train/ID661372352.jpg,2015/7/8,WA,Clover,0.26,1.0,0.0,0.0,10.4,10.4,10.4
ID661817669,train/ID661817669.jpg,2015/7/1,Vic,Phalaris_Clover,0.7,3.0,1.4577,13.1192,23.3231,37.9,24.7808
ID663006174,train/ID663006174.jpg,2015/1/15,NSW,Lucerne,0.66,49.0,0.0,5.8,44.6,50.4,44.6
ID667059550,train/ID667059550.jpg,2015/8/14,Vic,Phalaris_Clover,0.79,9.0,8.1529,8.1529,52.9941,69.3,61.1471
ID668330410,train/ID668330410.jpg,2015/9/11,Tas,Ryegrass,0.82,5.3333,0.0,19.0828,28.9181,48.0009,28.9181
ID668475812,train/ID668475812.jpg,2015/5/7,NSW,Lucerne,0.78,42.0,0.0,52.9301,34.0699,87.0,34.0699
ID670276799,train/ID670276799.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.66,6.0,0.0,23.1943,21.9057,45.1,21.9057
ID679913293,train/ID679913293.jpg,2015/6/26,Tas,Ryegrass_Clover,0.53,3.0,0.2146,14.3782,6.6526,21.2454,6.8672
ID681680726,train/ID681680726.jpg,2015/8/21,WA,Clover,0.66,1.0,45.85,0.0,0.0,45.85,45.85
ID684062938,train/ID684062938.jpg,2015/10/6,NSW,Fescue,0.6,14.3333,0.0,33.5863,73.0137,106.6,73.0137
ID684383343,train/ID684383343.jpg,2015/10/14,Vic,Phalaris_Clover_Ryegrass_Barleygrass_Bromegrass,0.48,4.5,11.7404,16.7719,19.2877,47.8,31.0281
ID686797154,train/ID686797154.jpg,2015/9/3,Tas,Ryegrass_Clover,0.8,2.5,3.5026,5.2539,23.6424,32.3988,27.145
ID697059386,train/ID697059386.jpg,2015/6/29,Tas,WhiteClover,0.67,2.0,10.9589,7.8827,0.769,19.6107,11.728
ID697718693,train/ID697718693.jpg,2015/8/21,WA,Clover,0.81,4.0,58.88,0.0,0.0,58.88,58.88
ID698608346,train/ID698608346.jpg,2015/2/25,NSW,Fescue,0.55,8.0,0.0,19.8809,38.5191,58.4,38.5191
ID706288721,train/ID706288721.jpg,2015/7/1,Tas,Ryegrass,0.8,7.0,0.0,8.8161,27.0782,35.8943,27.0781
ID710341728,train/ID710341728.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.84,11.0,0.0,7.9809,53.5191,61.5,53.5191
ID71885430,train/ID71885430.jpg,2015/2/25,NSW,Fescue,0.68,18.0,0.0,18.566,79.834,98.4,79.834
ID72895391,train/ID72895391.jpg,2015/7/2,Vic,Ryegrass_Clover,0.7,2.0,1.9867,3.9733,8.94,14.9,10.9267
ID740402124,train/ID740402124.jpg,2015/9/30,Vic,Phalaris_Clover,0.76,8.0,18.1624,6.3568,40.0708,64.59,58.2332
ID742198710,train/ID742198710.jpg,2015/5/18,Tas,Ryegrass,0.83,10.0,0.0,13.8443,40.1485,53.9928,40.1485
ID743847993,train/ID743847993.jpg,2015/6/30,Vic,Phalaris_Clover,0.81,4.6,0.0,17.6378,32.5622,50.2,32.5622
ID746335827,train/ID746335827.jpg,2015/10/6,NSW,Fescue,0.75,24.3333,0.0,53.2603,112.8397,166.1,112.8397
ID748979397,train/ID748979397.jpg,2015/11/9,Tas,Clover,0.77,3.8333,43.2687,18.1125,0.0,61.3813,43.2687
ID750820644,train/ID750820644.jpg,2015/5/18,Tas,Ryegrass,0.74,5.0,0.0,38.9588,28.2559,67.2147,28.2558
ID751517087,train/ID751517087.jpg,2015/8/18,Vic,Phalaris_Clover,0.86,5.2,16.73,11.95,43.02,71.7,59.75
ID753699705,train/ID753699705.jpg,2015/2/24,NSW,Ryegrass,0.74,13.0,0.0,8.1541,72.6459,80.8,72.6459
ID755710743,train/ID755710743.jpg,2015/9/11,Tas,Ryegrass,0.67,2.0,2.1841,8.2099,8.4829,18.877,10.667
ID761508093,train/ID761508093.jpg,2015/6/26,Vic,Mixed,0.66,4.0,0.0,30.8,20.5333,51.3333,20.5333
ID779628955,train/ID779628955.jpg,2015/9/1,WA,SubcloverLosa,0.79,1.0,47.32,0.0,0.0,47.32,47.32
ID7850481,train/ID7850481.jpg,2015/9/1,WA,SubcloverLosa,0.69,1.0,19.57,0.0,0.0,19.57,19.57
ID786365141,train/ID786365141.jpg,2015/5/18,Tas,Ryegrass,0.41,3.0,0.0,3.3,6.8,10.1,6.8
ID789169173,train/ID789169173.jpg,2015/4/1,NSW,Lucerne,0.86,37.0,0.0,1.2264,77.8736,79.1,77.8736
ID793526563,train/ID793526563.jpg,2015/9/29,Vic,Ryegrass_Clover,0.82,18.0,16.7414,4.5597,86.0889,107.39,102.8303
ID797502182,train/ID797502182.jpg,2015/7/1,Tas,Ryegrass,0.43,3.0,0.0,12.6079,6.9746,19.5825,6.9746
ID799079114,train/ID799079114.jpg,2015/7/1,Tas,Ryegrass,0.53,4.0,0.0,19.7501,8.0022,27.7523,8.0022
ID802547515,train/ID802547515.jpg,2015/5/19,Tas,Ryegrass_Clover,0.74,4.0,0.7525,14.5984,18.9629,34.3138,19.7154
ID803479541,train/ID803479541.jpg,2015/6/26,Tas,Ryegrass_Clover,0.55,2.0,1.0483,22.5374,16.2479,39.8335,17.2961
ID808079729,train/ID808079729.jpg,2015/9/3,Tas,Ryegrass_Clover,0.77,2.8333,5.6976,8.5464,22.1574,36.4014,27.855
ID808093827,train/ID808093827.jpg,2015/11/10,Tas,Ryegrass_Clover,0.9,4.3333,19.6769,6.4251,25.2988,51.4008,44.9757
ID8209776,train/ID8209776.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.8,3.0,9.9586,14.108,12.0333,36.1,21.992
ID828217731,train/ID828217731.jpg,2015/6/26,Vic,Ryegrass,0.69,3.5,0.7978,8.7753,4.7865,14.3596,5.5843
ID839432753,train/ID839432753.jpg,2015/9/4,Tas,Clover,0.77,3.6667,24.7968,2.7552,2.4108,29.9628,27.2076
ID846154859,train/ID846154859.jpg,2015/9/4,Tas,Clover,0.62,2.8333,16.5413,7.8112,0.919,25.2715,17.4603
ID846984946,train/ID846984946.jpg,2015/11/9,Tas,Ryegrass_Clover,0.3,1.1667,8.4,8.0,0.6,17.0,9.0
ID853954911,train/ID853954911.jpg,2015/6/26,Vic,Ryegrass,0.85,6.0,0.0,26.0,23.0,49.0,23.0
ID866684633,train/ID866684633.jpg,2015/7/8,WA,Clover,0.59,1.0,25.4228,0.0,6.4772,31.9,31.9
ID871463897,train/ID871463897.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.79,12.0,10.0981,19.3547,59.7472,89.2,69.8453
ID875119737,train/ID875119737.jpg,2015/8/14,Vic,Ryegrass_Clover,0.72,4.0,5.8,5.8,23.2,34.8,29.0
ID885388135,train/ID885388135.jpg,2015/7/2,Vic,Ryegrass_Clover,0.7,4.0,1.4353,4.3059,18.6588,24.4,20.0941
ID896386823,train/ID896386823.jpg,2015/9/11,Tas,Ryegrass,0.64,3.6667,2.0794,19.7543,12.9541,34.7878,15.0335
ID900012207,train/ID900012207.jpg,2015/2/24,NSW,Ryegrass,0.58,11.0,0.0,28.0478,36.7522,64.8,36.7522
ID905397692,train/ID905397692.jpg,2015/9/30,Vic,Phalaris_Clover,0.84,13.0,30.9177,6.1407,36.2016,73.26,67.1193
ID908524512,train/ID908524512.jpg,2015/11/10,Tas,Ryegrass_Clover,0.78,3.1667,11.3043,4.2957,17.4087,33.0087,28.713
ID914754166,train/ID914754166.jpg,2015/10/13,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,0.37,2.5,5.4849,14.6759,9.3392,29.5,14.8241
ID930534670,train/ID930534670.jpg,2015/6/26,Tas,Ryegrass_Clover,0.57,2.0,1.7333,10.5572,20.3265,32.6169,22.0598
ID936984905,train/ID936984905.jpg,2015/7/1,Vic,Phalaris_Clover,0.79,5.0,4.2636,4.2636,38.3727,46.9,42.6364
ID94564238,train/ID94564238.jpg,2015/7/2,Vic,Ryegrass_Clover,0.71,2.0,3.9923,3.9923,9.3154,17.3,13.3077
ID950496197,train/ID950496197.jpg,2015/9/4,Tas,Clover,0.72,2.6667,17.743,3.2487,2.499,23.4907,20.242
ID95050718,train/ID95050718.jpg,2015/6/26,Tas,Ryegrass_Clover,0.65,2.0,2.3081,15.0024,21.3496,38.66,23.6576
ID956512130,train/ID956512130.jpg,2015/11/9,Tas,Ryegrass_Clover,0.19,1.0,0.0,1.9,2.4,4.3,2.4
ID963903358,train/ID963903358.jpg,2015/6/26,Vic,Mixed,0.65,3.0,0.0,29.9634,13.8293,43.7927,13.8293
ID968643034,train/ID968643034.jpg,2015/11/10,Tas,Ryegrass_Clover,0.38,2.6667,1.5,7.6,9.0,18.1,10.5
ID969218269,train/ID969218269.jpg,2015/8/18,Vic,Phalaris_Clover,0.75,4.0,1.4235,13.5235,33.4529,48.4,34.8765
ID972274220,train/ID972274220.jpg,2015/11/10,Tas,Ryegrass_Clover,0.56,2.8333,7.4266,5.7388,7.8767,21.0421,15.3034
ID975115267,train/ID975115267.jpg,2015/7/8,WA,Clover,0.73,3.0,40.03,0.0,0.8,40.83,40.83
ID978026131,train/ID978026131.jpg,2015/9/4,Tas,Clover,0.83,3.1667,24.6445,4.1948,12.0601,40.8994,36.7046
ID980538882,train/ID980538882.jpg,2015/2/24,NSW,Phalaris,0.69,29.0,0.0,1.1457,91.6543,92.8,91.6543
ID980878870,train/ID980878870.jpg,2015/7/8,WA,Clover,0.74,2.0,32.3575,0.0,2.0325,34.39,34.39
ID983582017,train/ID983582017.jpg,2015/9/1,WA,Ryegrass,0.64,9.0,0.0,0.0,40.94,40.94,40.94
